HLE,HLN,HLZ
-0.044482,-0.015219,0.015087
-0.038482,-0.023205,0.016857
-0.030554,-0.023433,0.018842
-0.020651,-0.014567,0.020238
0.014163,0.02049,0.019854
0.021065,0.038745,0.01625
0.022731,0.054112,-0.023715
0.01932,0.065956,-0.044464
0.01218,0.07378,-0.06402
-0.013554,0.076365,-0.078677
-0.018048,0.071922,-0.086385
-0.018333,0.05924,-0.087696
-0.013769,0.03881,-0.085149
0.024008,0.012952,-0.080893
0.039539,-0.014821,-0.074459
0.053236,-0.04075,-0.062737
0.063078,-0.0616,-0.042193
0.067084,-0.075025,-0.012338
0.063605,-0.079773,0.022129
0.051988,-0.075977,0.052726
0.033462,-0.065402,0.070897
0.011431,-0.051295,0.071933
-0.025375,-0.037508,0.056884
-0.033804,-0.026913,0.031109
-0.03483,-0.020146,-0.027235
-0.030024,-0.015781,-0.050946
-0.021455,-0.011585,-0.067725
-0.010994,0.01116,-0.075593
0.017404,0.013584,-0.072782
0.021821,0.013788,-0.058631
0.022607,0.012292,-0.034515
0.019975,0.010055,0.028378
0.014499,0.011614,0.058386
-0.010904,0.016474,0.083035
-0.017284,0.021612,0.100489
-0.019056,0.025193,0.109669
-0.01526,0.026215,0.110218
0.013729,0.024913,0.103237
0.021273,0.022095,0.091807
0.025741,0.018076,0.080184
0.02707,0.012123,0.071914
0.025083,-0.010312,0.067714
0.019076,-0.026057,0.06458
-0.032758,-0.041169,0.057253
-0.061502,-0.051709,0.040959
-0.092652,-0.0544,0.01395
-0.121641,-0.047592,-0.021157
-0.14275,-0.03137,-0.057958
-0.150392,0.021088,-0.088256
-0.140969,0.049334,-0.104893
-0.114556,0.072022,-0.104414
-0.075386,0.084688,-0.088486
-0.030703,0.085264,-0.063323
0.011982,0.074728,-0.036742
0.047423,0.056166,-0.01452
0.073232,0.033143,0.014978
0.088993,-0.015499,0.028179
0.094892,-0.036604,0.042459
0.09103,-0.051309,0.055711
0.078012,-0.055772,0.064401
0.057879,-0.047589,0.066271
0.034288,-0.027689,0.061906
0.011915,0.026662,0.053689
-0.011615,0.049193,0.043716
0.033584,0.063971,0.032573
0.064492,0.070553,0.019293
0.095919,0.069235,-0.020143
